index,feedback,time,user_key,user_idx,model,tau,text,cefr,years,frequency
0,4,240.922431,opkxflwu,2,sel,0.1,crime_and_punishment_1,C2,20,daily
1,5,195.614336,opkxflwu,2,size,0.9,beyond_good_and_evil_1,C2,20,daily
2,5,121.88484,opkxflwu,2,gpt4,0.1,emma_1,C2,20,daily
3,4,142.694761,opkxflwu,2,mip,0.9,pride_and_prejudice_2,C2,20,daily
4,4,181.747171,ebnztlym,5,size,0.1,beyond_good_and_evil_1,C1,0,never
5,4,299.286317,ebnztlym,5,sel,0.9,crime_and_punishment_1,C1,0,never
6,5,192.672358,ebnztlym,5,mip,0.9,emma_1,C1,0,never
7,4,272.414679,ebnztlym,5,gpt4,0.1,pride_and_prejudice_2,C1,0,never
8,5,711.815397,pwbezftu,6,sel,0.9,beyond_good_and_evil_1,C2,19,daily
9,2,134.252247,pwbezftu,6,size,0.1,crime_and_punishment_1,C2,19,daily
10,3,265.085287,pwbezftu,6,gpt4,0.9,emma_1,C2,19,daily
11,1,96.534582,pwbezftu,6,mip,0.1,pride_and_prejudice_2,C2,19,daily
12,4,288.539964,fhvxrcnq,8,mip,0.9,beyond_good_and_evil_1,C1,6,daily
13,4,390.203027,fhvxrcnq,8,gpt4,0.1,crime_and_punishment_1,C1,6,daily
14,2,201.15175,fhvxrcnq,8,size,0.9,pride_and_prejudice_2,C1,6,daily
15,3,102.16171800000001,fhvxrcnq,8,sel,0.1,emma_1,C1,6,daily
16,5,145.098197,adxzcbhu,10,gpt4,0.9,beyond_good_and_evil_1,C1,15,never
17,4,159.254766,adxzcbhu,10,mip,0.1,crime_and_punishment_1,C1,15,never
18,4,264.631341,adxzcbhu,10,size,0.9,emma_1,C1,15,never
19,3,91.993115,adxzcbhu,10,sel,0.1,pride_and_prejudice_2,C1,15,never
20,4,286.391613,jahgnxzl,11,gpt4,0.1,beyond_good_and_evil_1,C2,10,daily
21,4,285.801892,jahgnxzl,11,size,0.9,crime_and_punishment_1,C2,10,daily
22,2,108.4812,jahgnxzl,11,mip,0.1,emma_1,C2,10,daily
23,4,153.291751,jahgnxzl,11,sel,0.9,pride_and_prejudice_2,C2,10,daily
24,4,218.065269,uwyhmies,12,sel,0.1,crime_and_punishment_1,C2,9,daily
25,5,220.180858,uwyhmies,12,size,0.9,beyond_good_and_evil_1,C2,9,daily
26,5,258.420997,uwyhmies,12,gpt4,0.1,emma_1,C2,9,daily
27,3,132.693539,uwyhmies,12,mip,0.9,pride_and_prejudice_2,C2,9,daily
28,5,302.944495,mafiwhuq,14,sel,0.9,beyond_good_and_evil_1,C2,10,weekly
29,3,204.993026,mafiwhuq,14,size,0.1,crime_and_punishment_1,C2,10,weekly
30,4,221.487798,mafiwhuq,14,gpt4,0.9,emma_1,C2,10,weekly
31,3,132.436952,mafiwhuq,14,mip,0.1,pride_and_prejudice_2,C2,10,weekly
32,4,146.209454,owifhvgp,15,sel,0.1,beyond_good_and_evil_1,B2,5,daily
33,4,170.70011,owifhvgp,15,mip,0.9,crime_and_punishment_1,B2,5,daily
34,4,192.934108,owifhvgp,15,size,0.1,emma_1,B2,5,daily
35,3,208.53519,owifhvgp,15,gpt4,0.9,pride_and_prejudice_2,B2,5,daily
36,3,196.74416300000001,vqenszwi,16,mip,0.9,beyond_good_and_evil_1,C1,18,daily
37,4,209.595589,vqenszwi,16,gpt4,0.1,crime_and_punishment_1,C1,18,daily
38,3,190.878937,vqenszwi,16,sel,0.1,emma_1,C1,18,daily
39,4,192.731379,vqenszwi,16,size,0.9,pride_and_prejudice_2,C1,18,daily
40,4,199.492459,zaypiwjk,17,mip,0.1,beyond_good_and_evil_1,C2,10,daily
41,5,252.188927,zaypiwjk,17,gpt4,0.9,crime_and_punishment_1,C2,10,daily
42,4,296.672141,zaypiwjk,17,sel,0.9,emma_1,C2,10,daily
43,1,49.888106,zaypiwjk,17,size,0.1,pride_and_prejudice_2,C2,10,daily
44,4,766.167138,koclipas,18,gpt4,0.9,beyond_good_and_evil_1,C1,9,daily
