"1","10","2","0-ch 1-ssion 2-de 3-u 4- 5-y 6-ting 7-tle 8-ant 9-er 10-ho 11-ke 12-erk 13-ung 14-an 15-nd 16-er 17-t 18-o 19-ked","1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1","15/20","00:04:00.922431","2023-08-24 20:17:04.856822","[('20-timestamp:0:00:05', 'input:ch'), ('23-timestamp:0:00:12', 'input:ssion'), ('24-timestamp:0:00:14', 'input:de'), ('25-timestamp:0:00:34', 'input:u'), ('27-timestamp:0:00:38', 'input:y'), ('30-timestamp:0:00:39', 'input:ting'), ('32-timestamp:0:00:43', 'input:tle'), ('33-timestamp:0:00:54', 'input:ract'), ('33-timestamp:0:02:33', 'input:ant'), ('35-timestamp:0:00:55', 'input:er'), ('37-timestamp:0:00:57', 'input:wh'), ('37-timestamp:0:02:47', 'input:ho'), ('39-timestamp:0:00:59', 'input:ke'), ('42-timestamp:0:01:03', 'input:erk'), ('45-timestamp:0:01:05', 'input:ung'), ('46-timestamp:0:01:09', 'input:an'), ('53-timestamp:0:01:14', 'input:ne'), ('53-timestamp:0:01:18', 'input:an'), ('53-timestamp:0:03:17', 'input:nd'), ('54-timestamp:0:03:21', 'input:er'), ('56-timestamp:0:03:38', 'input:t'), ('57-timestamp:0:03:41', 'input:o'), ('61-timestamp:0:03:56', 'input:ked')]","hard","15"
"2","21","2","0-tle 1-hy 2-f 3-ame 4-onnection 5-th 6-rocaaa 7-essss 8-asda 9-s 10-n 11-o 12-n 13-sion 14-he 15-art 16-th 17-king 18-osopher 19-retly","1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 1 1","9/20","00:03:15.614336","2023-08-24 20:20:27.984943","[('101-timestamp:0:02:58', 'input:sion'), ('104-timestamp:0:02:59', 'input:he'), ('106-timestamp:0:03:01', 'input:art'), ('108-timestamp:0:03:02', 'input:th'), ('110-timestamp:0:03:04', 'input:king'), ('113-timestamp:0:03:06', 'input:osopher'), ('115-timestamp:0:03:15', 'input:retly'), ('68-timestamp:0:00:22', 'input:tle'), ('70-timestamp:0:00:45', 'input:hy'), ('72-timestamp:0:00:49', 'input:f'), ('74-timestamp:0:00:59', 'input:ame'), ('76-timestamp:0:01:02', 'input:onnection'), ('78-timestamp:0:01:05', 'input:th'), ('80-timestamp:0:01:12', 'input:roc'), ('80-timestamp:0:01:23', 'input:rocaaa'), ('82-timestamp:0:02:43', 'input:essss'), ('84-timestamp:0:02:45', 'input:asda'), ('87-timestamp:0:02:49', 'input:s'), ('89-timestamp:0:02:52', 'input:n'), ('97-timestamp:0:02:56', 'input:o'), ('99-timestamp:0:02:57', 'input:n')]","too hard","0"
"3","8","2","0-he 1-ever 2-me 3-y 4-h 5-itional 6-ing 7-gering 8-ther 9-thh 10-nn 11-urchill 12-ildren 13-n 14-her 15-ownies 16-asdas 17-ke 18-ildr 19-asd","1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0","12/20","00:02:01.884840","2023-08-24 20:22:33.039979","[('108-timestamp:0:01:15', 'input:urchill'), ('112-timestamp:0:01:21', 'input:ildren'), ('115-timestamp:0:01:23', 'input:n'), ('119-timestamp:0:01:24', 'input:her'), ('121-timestamp:0:01:44', 'input:ownies'), ('124-timestamp:0:01:55', 'input:asdas'), ('131-timestamp:0:01:56', 'input:ke'), ('134-timestamp:0:01:58', 'input:ildr'), ('138-timestamp:0:02:01', 'input:asd'), ('62-timestamp:0:00:16', 'input:he'), ('68-timestamp:0:00:19', 'input:ever'), ('72-timestamp:0:00:30', 'input:me'), ('76-timestamp:0:00:31', 'input:y'), ('79-timestamp:0:00:37', 'input:h'), ('81-timestamp:0:00:43', 'input:itional'), ('83-timestamp:0:00:45', 'input:ing'), ('86-timestamp:0:00:49', 'input:gering'), ('90-timestamp:0:00:54', 'input:ther'), ('95-timestamp:0:01:01', 'input:thh'), ('98-timestamp:0:01:06', 'input:nn')]","too hard","0"
"4","26","2","0- 1-est 2-f 3-ther 4-rine 5-as 6-a 7-as 8-y 9-ent 10-n 11-e 12-tention 13-n 14-ters 15-nd 16-ter 17-d 18-nd 19-ther","0 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0","14/20","00:02:22.694761","2023-08-24 20:24:58.096923","[('53-timestamp:0:01:14', 'input:nge'), ('53-timestamp:0:01:21', 'input:est'), ('54-timestamp:0:01:24', 'input:f'), ('56-timestamp:0:01:27', 'input:ther'), ('58-timestamp:0:01:36', 'input:rine'), ('59-timestamp:0:01:37', 'input:as'), ('60-timestamp:0:01:39', 'input:a'), ('62-timestamp:0:01:43', 'input:as'), ('63-timestamp:0:01:44', 'input:y'), ('64-timestamp:0:01:47', 'input:ent'), ('65-timestamp:0:01:47', 'input:n'), ('66-timestamp:0:01:51', 'input:e'), ('67-timestamp:0:02:01', 'input:tention'), ('74-timestamp:0:02:02', 'input:n'), ('76-timestamp:0:02:05', 'input:ters'), ('79-timestamp:0:02:05', 'input:nd'), ('82-timestamp:0:02:07', 'input:ter'), ('83-timestamp:0:02:11', 'input:d'), ('96-timestamp:0:02:15', 'input:nd'), ('97-timestamp:0:02:22', 'input:ther')]","hard","8"
"5","13","6","0-ct 1-rth 2-uld 3- 4-erating 5-ile 6- 7-nd 8- 9- 10-st 11-s 12-nctual 13-ll 14-sive 15-nse 16-cient 17-king 18-sopher 19-s","1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 1 1","10/20","00:11:51.815397","2023-08-25 15:32:23.275652","[('100-timestamp:0:02:36', 'input:ll'), ('101-timestamp:0:02:41', 'input:sion'), ('101-timestamp:0:05:51', 'input:sive'), ('102-timestamp:0:02:44', 'input:nse'), ('109-timestamp:0:02:50', 'input:ensus'), ('109-timestamp:0:07:27', 'input:cient'), ('110-timestamp:0:02:54', 'input:king'), ('113-timestamp:0:03:07', 'input:sophic'), ('113-timestamp:0:06:32', 'input:sopher'), ('114-timestamp:0:03:16', 'input:s'), ('71-timestamp:0:00:37', 'input:ct'), ('73-timestamp:0:00:58', 'input:rth'), ('73-timestamp:0:05:13', 'input:'), ('73-timestamp:0:07:56', 'input:rth'), ('74-timestamp:0:01:02', 'input:uld'), ('76-timestamp:0:01:57', 'input:erated'), ('76-timestamp:0:05:17', 'input:'), ('76-timestamp:0:05:28', 'input:erating'), ('79-timestamp:0:02:00', 'input:ite'), ('79-timestamp:0:11:33', 'input:'), ('79-timestamp:0:11:46', 'input:ile'), ('81-timestamp:0:02:07', 'input:nd'), ('82-timestamp:0:08:33', 'input:vit'), ('82-timestamp:0:11:50', 'input:'), ('86-timestamp:0:02:14', 'input:st'), ('89-timestamp:0:02:18', 'input:n'), ('89-timestamp:0:03:51', 'input:s'), ('98-timestamp:0:02:24', 'input:nctual')]","too hard","8"
"6","18","6","0-as 1-ssion 2-f 3-y 4-son 5-le 6-om 7-ho 8-ke 9-erk 10-ung 11-n 12-s 13-ards 14-n 15-t 16-timent 17-ed 18-t 19-erk","1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","19/20","00:02:14.252247","2023-08-25 15:35:04.777231","[('21-timestamp:0:00:21', 'input:ay'), ('21-timestamp:0:00:58', 'input:as'), ('23-timestamp:0:00:26', 'input:ssion'), ('25-timestamp:0:00:27', 'input:f'), ('27-timestamp:0:00:29', 'input:e'), ('27-timestamp:0:00:52', 'input:y'), ('29-timestamp:0:00:33', 'input:son'), ('32-timestamp:0:00:38', 'input:le'), ('34-timestamp:0:00:41', 'input:om'), ('37-timestamp:0:01:06', 'input:ho'), ('39-timestamp:0:01:09', 'input:ke'), ('42-timestamp:0:01:13', 'input:own'), ('42-timestamp:0:02:12', 'input:erk'), ('45-timestamp:0:01:15', 'input:ung'), ('47-timestamp:0:01:20', 'input:n'), ('49-timestamp:0:01:21', 'input:s'), ('51-timestamp:0:01:23', 'input:ards'), ('54-timestamp:0:01:25', 'input:n'), ('56-timestamp:0:01:27', 'input:t'), ('58-timestamp:0:01:35', 'input:timent'), ('61-timestamp:0:01:37', 'input:ed'), ('63-timestamp:0:01:39', 'input:t'), ('65-timestamp:0:01:44', 'input:own'), ('65-timestamp:0:02:09', 'input:erk')]","easy","19"
"7","27","8","0-he 1-s 2-e 3-f 4-ity 5-ust 6-ittle 7-d 8-o 9-e 10-sive 11-se 12-reater 13-art 14-he 15-s 16-ing 17-f 18-ilosopher 19-s","1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","19/20","00:04:48.539964","2023-08-25 15:37:37.222060","[('101-timestamp:0:01:35', 'input:sion'), ('101-timestamp:0:04:04', 'input:sive'), ('101-timestamp:0:04:18', 'input:sion'), ('101-timestamp:0:04:40', 'input:sive'), ('102-timestamp:0:01:48', 'input:se'), ('105-timestamp:0:01:55', 'input:eneral'), ('105-timestamp:0:04:36', 'input:reater'), ('106-timestamp:0:01:57', 'input:rt'), ('106-timestamp:0:02:03', 'input:art'), ('108-timestamp:0:01:57', 'input:he'), ('109-timestamp:0:02:06', 'input:s'), ('110-timestamp:0:02:10', 'input:ing'), ('111-timestamp:0:02:12', 'input:f'), ('113-timestamp:0:02:17', 'input:ilosopher'), ('114-timestamp:0:02:19', 'input:s'), ('70-timestamp:0:00:28', 'input:he'), ('77-timestamp:0:00:35', 'input:s'), ('82-timestamp:0:00:38', 'input:e'), ('83-timestamp:0:00:39', 'input:f'), ('84-timestamp:0:00:43', 'input:ity'), ('86-timestamp:0:00:44', 'input:ust'), ('88-timestamp:0:03:30', 'input:ittle'), ('95-timestamp:0:01:00', 'input:e'), ('95-timestamp:0:01:03', 'input:s'), ('95-timestamp:0:03:41', 'input:d'), ('96-timestamp:0:01:08', 'input:o'), ('98-timestamp:0:01:11', 'input:e')]","hard","20"
"9","6","6","0-he 1-f 2-ild 3-ever 4-as 5-ieved 6-y 7-he 8-ional 9-ing 10-f 11-ering 12-f 13-ther 14-ar 15-dic 16-rt 17- 18-r 19-rs","1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1","17/20","00:04:25.085287","2023-08-25 15:39:42.500115","[('100-timestamp:0:01:51', 'input:naissance'), ('100-timestamp:0:02:54', 'input:'), ('103-timestamp:0:01:53', 'input:r'), ('106-timestamp:0:01:55', 'input:rs'), ('62-timestamp:0:00:17', 'input:he'), ('64-timestamp:0:00:18', 'input:f'), ('66-timestamp:0:00:21', 'input:ild'), ('68-timestamp:0:00:24', 'input:ever'), ('71-timestamp:0:00:25', 'input:as'), ('73-timestamp:0:00:27', 'input:ieved'), ('76-timestamp:0:00:30', 'input:y'), ('80-timestamp:0:00:35', 'input:he'), ('81-timestamp:0:00:41', 'input:ional'), ('82-timestamp:0:00:57', 'input:ing'), ('84-timestamp:0:00:50', 'input:f'), ('86-timestamp:0:01:04', 'input:ering'), ('88-timestamp:0:01:06', 'input:f'), ('90-timestamp:0:01:10', 'input:ther'), ('93-timestamp:0:02:37', 'input:nd'), ('93-timestamp:0:02:55', 'input:'), ('93-timestamp:0:03:15', 'input:ar'), ('95-timestamp:0:04:25', 'input:dic'), ('98-timestamp:0:01:40', 'input:ft'), ('98-timestamp:0:01:45', 'input:'), ('98-timestamp:0:02:45', 'input:rt')]","OK","16"
"10","28","6","0-t 1-y 2-t 3-n 4-e 5-s 6-ds 7-e 8-t 9-n 10-s 11-hen 12-g 13-r 14-d 15-k 16-n 17-as 18-rs 19-h","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","20/20","00:01:36.534582","2023-08-25 15:41:26.722414","[('53-timestamp:0:00:28', 'input:t'), ('63-timestamp:0:00:30', 'input:y'), ('64-timestamp:0:00:32', 'input:t'), ('65-timestamp:0:00:33', 'input:n'), ('66-timestamp:0:00:37', 'input:e'), ('67-timestamp:0:00:38', 'input:s'), ('70-timestamp:0:00:46', 'input:ds'), ('72-timestamp:0:00:47', 'input:e'), ('73-timestamp:0:00:48', 'input:t'), ('74-timestamp:0:00:50', 'input:n'), ('76-timestamp:0:00:51', 'input:s'), ('80-timestamp:0:00:55', 'input:hen'), ('81-timestamp:0:00:56', 'input:g'), ('82-timestamp:0:00:57', 'input:r'), ('83-timestamp:0:00:59', 'input:d'), ('86-timestamp:0:01:03', 'input:k'), ('88-timestamp:0:01:11', 'input:n'), ('89-timestamp:0:01:18', 'input:as'), ('95-timestamp:0:01:20', 'input:rs'), ('97-timestamp:0:01:23', 'input:h')]","too easy","19"
"11","2","8","0-as 1-ny 2-nikov 3-tting 4-stance 5-oked 6-tired 7-ung 8-ten 9-is 10-wards 11-en 12-t 13-sentiment 14-oked 15-erk 16-ubt 17-ter 18-istently 19-viously","1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","19/20","00:06:30.203027","2023-08-25 15:44:19.735741","[('21-timestamp:0:00:12', 'input:as'), ('24-timestamp:0:00:16', 'input:ny'), ('26-timestamp:0:03:47', 'input:nikov'), ('30-timestamp:0:00:30', 'input:milar'), ('30-timestamp:0:04:07', 'input:tting'), ('33-timestamp:0:04:15', 'input:stance'), ('38-timestamp:0:00:57', 'input:oked'), ('41-timestamp:0:01:14', 'input:nown'), ('41-timestamp:0:04:23', 'input:nownd'), ('41-timestamp:0:05:44', 'input:'), ('41-timestamp:0:06:07', 'input:tired'), ('45-timestamp:0:04:25', 'input:ung'), ('47-timestamp:0:01:27', 'input:ten'), ('49-timestamp:0:01:30', 'input:is'), ('51-timestamp:0:01:44', 'input:noons'), ('51-timestamp:0:04:33', 'input:wards'), ('54-timestamp:0:01:48', 'input:en'), ('56-timestamp:0:01:49', 'input:t'), ('58-timestamp:0:06:04', 'input:sentiment'), ('61-timestamp:0:02:01', 'input:oked'), ('65-timestamp:0:02:07', 'input:ose'), ('65-timestamp:0:05:42', 'input:'), ('65-timestamp:0:06:11', 'input:erk'), ('69-timestamp:0:06:27', 'input:ubt'), ('72-timestamp:0:02:16', 'input:ter'), ('75-timestamp:0:02:20', 'input:istently'), ('79-timestamp:0:03:36', 'input:viously')]","hard","17"
